Player,Position
Illia Zabarnyi,Defender
Jack Robinson,Defender
Jacob Ramsey,Midfielder
Jakub Kiwior,Defender
Jamaal Lascelles,Defender
James Garner,Midfielder
James Tarkowski,Defender
Jefferson Lerma,Midfielder
Joel Veltman,Defender
Johann Berg Gudmundsson,Midfielder
John Stones,Defender
Jordan Clark,Midfielder
Joseph Willock,Midfielder
Kenny Tete,Defender
Kieffer Moore,Forward
Kieran Trippier,Defender
Konstantinos Mavropanos,Defender
Leander Dendoncker,Midfielder
Levi Colwill,Defender
Lewis Dobbin,Forward
Lewis Hall,Defender
Lewis Miley,Midfielder
Lorenz Assignon,Defender
Luca Koleosho,Forward
Lucas Digne,Defender
Mads Juel Andersen,Defender
Mads Roerslev,Defender
Mason Mount,Midfielder
Mateo Kovacic,Midfielder
Mathias Jørgensen,Defender
Matt Doherty,Defender
Matt Ritchie,Midfielder
Maxwel Cornet,Forward
Michael Keane,Defender
Moisés Caicedo,Midfielder
Moussa Niakhaté,Defender
Nathan Collins,Defender
Nayef Aguerd,Defender
Ola Aina,Defender
Oleksandr Zinchenko,Defender
Orel Mangala,Midfielder
Oscar Bobb,Midfielder
Raphaël Varane,Defender
Rodrigo Bentancur,Midfielder
Ryan Gravenberch,Midfielder
Ryan Yates,Midfielder
Saman Ghoddos,Midfielder
Sander Berge,Midfielder
Sandro Tonali,Midfielder
Sasa Lukic,Midfielder
Shandon Baptiste,Midfielder
Teden Mengi,Defender
Tim Ream,Defender
Timothy Castagne,Defender
Tom Cairney,Midfielder
Tom Lockyer,Defender
Toti Gomes,Defender
Trevoh Chalobah,Defender
Valentino Livramento,Defender
Victor Nilsson Lindelöf,Defender
Vinicius de Souza Costa,Midfielder
Vitaly Janelt,Midfielder
Wataru Endo,Midfielder
Fabio Vieira,Midfielder
Oliver Norwood,Midfielder
Leandro Dendoncker,Midfielder
Tijjani Reijnders,Midfielder
